cod_loja;faturamento
1;499695.5
2;50531.605
3;135057.3
4;49027.547
5;158592.39
6;190905.92
7;79561.234
8;105060.18
9;258808.44
11;29396.203
12;50980.844
14;78620.086
15;104081.19
17;89609.48
18;42430.453
19;112318.914
20;136007.86
22;115839.19
23;194051.64
24;114146.84
25;123997.51
26;147067.44
27;36923.5
29;148423.02
30;86385.68
31;73272.51
32;201877.38
33;212930.25
34;185488.23
35;150320.9
36;57289.72
37;170139.44
38;106518.086
39;139472.05
40;123788.91
42;203478.08
43;63009.8
44;210271.92
45;106679.47
46;177701.88
47;98510.59
48;163390.11
49;68378.78
50;72345.82
51;116122.73
52;114582.695
53;114381.31
54;120984.79
56;120181.73
57;128314.98
58;133554.58
59;123860.29
60;168703.64
61;63224.3
62;140104.52
63;82229.65
65;109745.414
66;218802.25
67;328887.56
68;125001.16
69;59815.816
70;41259.66
71;74506.305
72;348730.22
74;85702.766
76;231534.33
77;100487.38
78;117491.414
79;145666.28
80;153426.8
81;108449.875
83;79155.77
85;135276.55
86;164020.39
88;147013.33
89;101263.23
90;78282.01
91;81327.01
92;72371.18
93;130759.4
94;160243.73
95;92102.44
96;94950.0
97;122004.41
98;95419.29
100;31139.086
101;87176.26
102;94015.52
104;65388.637
105;107685.94
107;48214.77
108;60717.69
109;61710.926
110;113070.65
111;105174.336
112;84789.94
113;239347.86
114;111270.586
115;65974.74
116;186039.8
118;136813.12
120;128262.4
121;111703.32
122;54960.28
123;143184.8
124;93595.086
125;135426.58
126;303209.53
128;193093.23
130;145682.92
131;104020.12
133;72216.86
134;107966.125
135;35700.3
136;198877.23
137;43515.87
138;267891.06
139;107930.125
140;174190.98
141;63551.75
142;59200.33
143;352411.25
144;174476.27
145;136286.67
146;87122.5
147;203367.42
148;290599.75
149;52051.52
150;119683.41
151;114765.695
152;149462.42
153;149820.58
154;97017.35
155;216511.81
156;72373.555
157;26388.96
158;54581.266
159;59162.26
160;184064.56
161;26869.781
162;125105.77
163;117231.49
164;214602.61
165;139943.05
166;59526.754
167;26885.062
168;150543.55
169;345069.97
170;64645.293
171;128921.32
172;98998.35
173;123650.62
174;74995.22
175;221632.0
176;198205.0
177;292503.34
179;193881.8
180;109667.35
181;93343.0
182;208529.45
183;59904.168
184;141920.62
185;185127.3
186;54637.312
187;222761.19
188;96055.6
189;86489.64
190;86559.65
191;127872.34
192;120022.21
193;103593.76
194;244730.62
195;123503.875
196;56829.582
197;263880.28
198;57971.566
199;37999.332
204;282682.66
205;139717.2
207;165226.75
208;190215.8
209;105045.34
210;40013.312
211;112727.75
212;72634.055
214;37921.98
216;217427.94
217;121791.375
218;129851.37
219;56248.03
221;102615.19
222;147122.42
223;137004.0
224;33942.535
225;40944.13
226;73873.914
227;121256.086
228;195626.45
229;141370.45
230;118985.25
231;45465.645
233;30029.88
236;147072.61
237;31647.984
238;168934.67
239;58438.58
243;112347.04
244;242839.31
245;60955.062
246;201163.23
247;94942.65
248;140029.98
249;111968.71
250;60558.953
251;29334.678
252;99140.78
253;80728.78
256;119083.52
257;97165.56
258;38990.523
259;97856.79
260;125002.914
263;61581.418
264;39827.0
265;103681.06
266;124949.6
267;81591.484
268;65825.914
269;136994.12
270;320891.12
271;164465.67
273;99452.75
274;139083.38
275;120156.52
276;98676.65
277;94890.81
279;42947.906
280;118415.27
281;125989.85
282;105377.91
283;258690.95
284;74528.914
286;142915.62
287;34595.88
288;31072.822
289;76863.94
290;100815.98
291;139478.11
292;226594.3
293;253604.0
294;302058.66
295;185093.19
296;75407.914
297;63019.19
298;30984.229
299;62771.082
301;127559.21
304;45440.99
305;59168.027
306;102776.49
307;283541.34
309;134166.95
310;141957.81
311;97458.71
312;39290.508
313;137266.2
314;61438.3
316;113893.04
317;91728.28
318;134053.62
319;61689.113
320;169724.86
321;96437.66
322;61992.348
324;77073.08
325;32841.426
326;42471.465
328;292451.06
329;187633.55
330;145874.84
331;101345.79
332;87452.305
335;205901.23
336;46745.566
337;122291.664
338;60413.99
340;78204.51
341;53626.27
342;62868.78
343;238855.75
345;156808.11
346;52196.934
347;57938.332
348;59850.746
349;80333.72
350;52194.324
351;66077.6
352;43471.504
354;45959.793
356;164852.88
357;146384.19
358;78093.016
359;142624.2
360;152035.3
361;85130.65
362;82997.72
363;93549.75
364;126198.586
365;66705.44
366;142432.94
367;55995.16
368;205727.83
369;53520.62
370;41946.535
371;254682.55
372;217449.27
373;65763.055
374;227961.17
376;62521.934
377;83998.27
378;123608.96
379;282953.28
380;179013.89
382;53747.875
383;55137.676
385;182803.56
386;128646.414
387;76304.15
388;95567.23
389;302679.97
390;90744.48
391;93220.16
392;116465.01
393;307004.28
395;33292.152
396;71803.98
397;181015.0
398;84558.03
399;41809.15
400;88350.04
401;112878.65
402;35842.52
403;107306.086
404;58454.137
405;122890.52
406;81632.695
407;98663.914
408;44594.703
409;72201.47
410;144599.3
411;81532.23
412;104282.06
413;58969.34
414;121664.93
415;69267.51
416;137727.67
417;135828.62
418;86802.77
419;50042.17
421;76471.47
422;217550.81
423;127752.695
424;40896.08
425;151308.44
426;42354.613
428;104239.25
429;121214.9
430;53150.75
431;62578.887
432;109391.99
433;224567.8
434;99097.88
435;118112.0
436;79695.31
437;145848.25
438;59888.688
439;232372.77
440;211303.77
441;123942.5
442;197725.56
443;138712.58
444;92096.87
445;54435.17
446;38363.543
447;90877.19
449;175352.27
451;121950.15
453;48733.777
454;104463.04
455;72404.53
456;126760.69
457;26233.014
458;212199.19
459;83737.836
460;93718.32
462;187548.42
463;69186.305
464;123284.555
465;151158.98
466;70696.445
467;156923.64
468;108404.99
469;151716.31
470;73574.84
471;247605.17
472;41943.41
473;182421.62
474;28497.084
475;68854.055
478;84821.445
479;81180.47
481;52578.25
482;165053.47
483;75430.836
484;26918.627
485;70025.234
487;42647.52
488;203441.7
489;53800.88
490;67384.22
491;69046.76
492;124858.25
493;126157.98
494;84137.51
495;58848.99
496;91818.18
497;62780.363
498;105883.625
499;113833.164
500;186416.17
502;112615.12
503;146982.61
504;76662.34
505;135381.7
506;83408.26
507;31127.586
508;181039.25
509;321070.25
510;227769.11
511;200019.0
512;66345.22
513;45273.254
515;64193.824
516;175966.61
517;206835.7
518;54989.14
519;209414.27
521;185626.11
523;70892.836
524;76915.39
525;52531.016
527;226179.36
528;40485.2
529;147835.75
530;198756.08
531;45408.812
532;263062.6
533;59517.832
534;60187.062
535;63553.49
536;276676.12
537;97981.41
538;299807.22
539;234133.3
541;94039.28
542;132278.12
544;71368.24
546;55907.69
547;41544.74
548;117592.914
549;134610.8
550;115178.49
551;77932.94
552;49492.234
553;74191.26
554;131863.33
555;124088.09
557;119550.336
558;61479.03
559;45590.637
562;121881.04
563;234428.12
564;64250.24
565;130773.27
567;288819.53
568;97063.26
569;171010.55
570;55367.766
571;139850.19
573;100506.5
574;62261.703
576;160563.3
577;73785.74
578;475913.75
579;53174.895
580;140430.73
581;72437.96
582;479785.4
583;121637.43
584;32878.754
585;30735.33
