cod_loja;faturamento
10;146408.23
13;102966.195
16;69447.4
21;78743.07
28;135722.34
41;163306.23
55;74119.09
64;142656.44
73;179505.3
75;144877.73
82;116774.27
84;130216.65
87;94086.91
99;66933.36
103;121351.305
106;85715.375
117;78401.43
119;81286.06
127;70501.055
129;123612.69
132;163495.38
178;255741.39
200;90519.664
201;80799.49
202;83450.78
203;95867.91
206;77535.73
213;153186.33
215;179516.14
220;104856.48
232;65608.52
234;169863.75
235;68219.75
240;53915.582
241;94670.51
242;57883.48
254;86375.48
255;357589.25
261;49949.715
262;146454.12
272;53821.363
278;94502.82
285;147801.17
300;86342.05
302;88123.21
303;60950.668
308;134931.67
315;92315.73
323;101672.305
327;83577.586
333;59822.613
334;140485.33
339;51658.98
344;90856.914
353;236303.95
355;60103.957
375;73140.375
381;222357.11
384;124048.22
394;118395.96
420;111198.23
427;55401.81
448;85953.555
450;181576.88
452;112256.76
461;47442.53
476;118363.43
480;250778.02
486;47884.27
501;173273.2
514;108375.13
520;81160.62
522;42853.953
526;58975.832
540;75527.87
543;68190.88
545;127258.1
556;70738.914
560;149280.77
561;63600.86
566;53774.207
572;67456.29
575;59058.31
588;52385.957
592;46556.97
596;104288.18
601;51125.625
603;113047.055
610;79795.22
618;35601.496
620;47039.918
636;136342.89
637;45531.938
641;161965.2
645;234117.42
646;97659.66
652;189735.2
653;59950.12
678;33283.04
680;103729.84
683;60667.035
685;106811.664
715;37529.7
730;54584.938
733;158582.12
750;68220.445
756;90828.586
758;57623.7
771;162905.33
777;31285.76
791;41168.117
812;40100.2
813;52258.7
820;39622.48
841;41673.098
857;53664.23
861;97238.48
866;183268.94
867;104573.04
868;65480.02
875;138381.42
876;42439.38
885;87603.805
903;166624.73
907;145234.06
914;44418.7
929;108318.414
936;127943.31
938;80336.69
944;63179.094
950;74773.96
952;49427.49
953;76343.79
967;59992.05
974;178111.38
975;91877.09
1007;93067.54
1008;54036.793
1013;46996.844
1025;154801.55
1027;272272.47
1034;82476.99
1036;68627.164
1039;34040.48
1059;93183.5
1065;135903.4
1069;83344.46
1073;71851.36
1082;48370.03
1089;48255.438
1093;79930.77
1094;145177.62
1099;33997.688
1106;64934.25
1109;117094.25
1114;133825.47
1124;56933.223
1126;76634.195
1145;75702.055
1148;33765.51
1151;45591.812
1153;68740.88
1156;108069.07
1164;117577.02
1173;39470.996
1175;47113.91
1180;60223.8
1186;93163.414
1196;90639.25
1199;72677.375
1208;133809.53
1213;104480.48
1226;39928.832
1234;156263.08
1246;104132.98
1247;123297.94
1254;60367.887
1267;103116.63
1274;44037.574
1279;88411.16
1283;42515.94
1287;33244.473
1292;57669.547
1298;261975.52
1308;77369.734
1314;102511.56
1317;232217.67
1321;47820.06
1322;166368.97
1334;89761.25
1335;61141.355
1359;105462.35
1360;65060.562
1361;66995.53
1374;99422.375
1382;29407.479
1384;36989.42
1385;27363.492
1390;128601.79
1396;225281.38
1398;31228.0
1403;55404.594
1415;33021.918
1418;178359.88
1419;70840.72
1421;144132.98
1422;106980.32
1447;48974.77
1448;80067.34
1452;67924.31
1460;45262.145
1461;155157.44
1462;112185.94
1485;68666.375
1499;88697.164
1500;68098.49
1502;74923.555
1503;52113.08
1507;91143.26
1510;53887.895
1518;229407.94
1523;63777.06
1524;59805.707
1527;73615.4
1531;93866.836
1551;148324.98
1563;48927.438
1568;46110.94
1569;93353.54
1570;95343.01
1574;106008.75
1580;75610.48
1595;49624.53
1598;32653.525
1602;28507.229
1605;182374.27
1613;26489.607
1623;95790.914
1624;99047.375
1626;100081.75
1632;48589.39
1667;52453.613
1669;45122.19
1674;65782.39
1685;39737.52
1686;239331.75
1696;261826.88
1708;22288.916
1724;67268.56
1732;72967.45
1734;186027.58
1743;68234.98
1752;78509.79
1754;91807.836
1757;126664.35
1760;96940.25
1768;174593.52
1774;48070.984
1787;102630.27
1788;48856.855
1789;68554.26
1794;20038.602
1795;40153.66
1799;104252.586
1808;54907.24
1809;125354.79
1811;99887.71
1819;171021.36
1824;32323.178
1835;67167.38
1842;261205.94
1843;26567.18
1851;45946.613
1853;81840.43
1858;51349.543
1861;62368.86
1862;64643.92
1863;169200.19
1869;83224.78
1872;75521.3
1874;73094.84
1882;33148.48
1885;95145.06
1890;71359.37
1896;70921.35
1899;27307.611
1901;60112.434
1918;159714.03
1919;85548.37
1927;151052.31
1930;59712.902
1933;63203.176
1944;74253.2
1949;93549.375
1982;118634.305
1984;129553.19
1986;78479.13
1990;43825.797
1992;76894.29
2009;139539.5
2015;74808.52
2018;46994.188
2020;91175.02
2028;169554.55
2040;67975.164
2046;145120.17
2050;89056.13
2066;53710.684
2068;26753.182
2070;246070.67
2072;93192.4
2074;39004.97
2091;27792.791
2096;66933.625
2111;168816.67
2116;117538.305
2120;73753.555
2121;182376.67
2128;48394.25
2132;295908.66
2136;286262.1
2139;99724.586
2152;167986.7
2153;68507.96
2163;203645.95
2165;129808.836
2166;258753.94
2171;269646.38
2173;100463.945
2177;241936.58
2181;96257.88
2193;104824.98
2195;122071.414
2201;138553.89
2207;97525.85
2223;53811.797
2236;162287.0
2240;36138.094
2241;75412.04
2250;100428.25
2262;57495.48
2277;81147.664
2283;31264.271
2284;139408.23
2294;66957.88
2296;84605.484
2306;103042.41
2321;228448.5
2334;61478.125
2337;33475.72
2341;64252.887
2347;103938.09
2367;33983.31
2368;153901.28
2376;202749.95
2379;40902.656
2380;64552.215
2382;97187.01
2386;75544.29
2388;76727.24
2390;74537.03
2403;185452.33
2410;53541.363
2416;90738.5
2420;78907.38
2423;69856.09
2426;236314.33
2436;44191.406
2451;67307.65
2452;65815.164
2454;45161.75
2461;119738.69
2463;205659.75
2464;66226.52
2469;45471.395
3390;116157.0
2481;81449.016
2487;71702.49
2488;105272.71
2494;129567.695
2504;126838.56
2513;62777.996
2527;27682.209
2535;126768.78
2537;182775.89
2543;17883.39
2550;77054.55
2562;71152.98
2564;35524.184
2579;66971.23
2580;57448.355
2585;52072.793
2594;97128.09
2596;131772.55
2604;54461.406
2613;35170.51
2637;87233.84
2646;53362.87
2649;53067.363
2650;45096.14
2651;50455.266
2652;96672.98
2655;52590.598
2665;30774.857
2667;73442.47
2673;178675.0
2688;252038.25
2689;127211.99
2700;80396.02
2702;50804.125
2704;59594.8
2705;76131.59
2708;105045.59
2724;77194.195
2730;34171.25
2733;134831.69
2741;46033.72
2745;40823.17
2746;34235.42
2748;27965.557
2752;27090.479
2755;93123.74
2757;65609.836
2761;102006.65
2763;60818.25
2774;47922.957
2779;166234.02
2792;73855.305
2801;264199.4
2815;67878.445
2822;142810.64
2828;64154.074
2840;148879.86
2847;33523.406
2855;70744.02
2860;78548.63
2867;107797.54
2877;80212.22
2889;53244.613
2894;54640.047
2910;142108.25
2929;42128.645
2932;71349.43
2934;76995.125
2945;72249.04
2950;78827.945
2954;45955.78
2958;78084.27
2966;153301.17
2976;102331.625
2984;208534.17
2992;40383.504
3004;286006.88
3008;181272.67
3033;189356.92
3054;42080.55
3057;59090.074
3069;89172.66
3082;188584.92
3086;41066.13
3096;124555.68
3098;113363.164
3103;56552.734
3109;32623.912
3114;78467.38
3115;124017.75
3121;95117.836
3138;38986.082
3156;101354.445
3164;110554.99
3168;41083.27
3169;88321.49
3182;56025.297
3186;219627.62
3197;35842.27
3199;27535.234
3200;37057.926
3206;45062.406
3208;139341.98
3213;123135.81
3236;89512.27
3243;101885.56
3251;34418.83
3252;93324.96
3261;125829.54
3263;148066.44
3274;78237.17
3284;84215.62
3285;58586.47
3287;66949.414
3294;97831.586
3301;66508.73
3307;130860.0
3310;30800.49
3316;108083.65
3323;29089.525
3326;21121.186
3340;149766.77
3344;48142.035
3353;129138.25
3359;68513.305
3367;50883.035
3368;25419.818
3371;48638.734
3383;80299.695
3389;66977.77
3394;99768.53
3396;213673.5
3406;30602.89
3415;84842.625
3416;163706.6
3426;91678.71
3432;61692.707
3433;70611.82
3436;105671.336
3450;166950.02
3457;50070.27
3464;71478.08
3472;82793.09
3475;140572.36
3478;72355.38
3480;123259.48
3484;100193.336
3493;57350.207
3512;92090.13
3533;98356.63
3539;78501.03
3549;139270.02
3552;63014.25
3557;59236.094
3559;77746.57
3565;74664.91
3566;75481.9
3568;74664.91
3592;50201.348
3593;73950.73
3598;61391.62
3599;85199.13
3605;71723.35
3608;59438.184
3617;88956.54
3621;95103.46
3626;159018.11
3627;27504.773
3636;76986.16
3644;69735.35
3650;39023.395
3661;55810.99
3667;48266.02
3672;128376.414
3674;225934.05
3675;97271.79
3684;89164.75
