,cod_loja,faturamento,jan,fev,mar
0,1,501708.62,520670.53,433214.16,551241.2
1,2,50304.043,49195.863,42203.676,59512.59
2,3,135041.62,131607.02,117840.29,155677.56
3,4,48981.754,50218.152,41423.875,55303.23
4,5,157658.06,165427.45,137312.16,170234.55
5,6,193624.06,192532.0,164589.66,223750.53
6,7,79103.586,79648.945,70099.64,87562.16
7,8,105032.02,115226.19,92399.195,107470.68
8,9,258900.06,275838.06,232151.38,268710.75
9,11,29687.686,38134.6,21427.168,29501.283
10,12,50664.26,55707.58,43780.285,52504.926
11,14,78573.6,80933.836,68098.38,86688.59
12,15,106936.65,115912.45,95136.64,109760.85
13,17,89990.48,94784.945,78073.22,97113.28
14,18,43552.543,46535.723,38198.215,45923.69
15,19,111864.9,114976.42,96246.97,124371.28
16,20,136094.83,139132.31,117733.98,151418.19
17,22,114947.27,117931.555,101198.1,125712.164
18,23,193607.92,207501.3,159846.64,213475.83
19,24,115381.27,138980.39,99981.07,107182.33
20,25,123701.49,132020.36,103734.24,135349.88
21,26,145660.08,153124.19,132162.61,151693.45
22,27,37140.227,34556.535,33765.195,43098.945
23,29,146611.48,150082.44,129047.0,160705.03
24,30,86361.28,89567.42,73975.45,95540.97
25,31,72972.25,69796.95,64132.168,84987.62
26,32,205160.55,209789.66,176077.81,229614.12
27,33,214048.95,214580.45,189793.33,237773.08
28,34,186129.27,186455.48,163064.88,208867.45
29,35,150598.11,147631.08,136742.95,167420.28
30,36,57000.938,54359.176,50272.555,66371.07
31,37,169293.17,164981.19,148087.52,194810.83
32,38,108046.04,106035.1,94261.195,123841.836
33,39,139825.75,146062.47,120401.766,153013.0
34,40,123295.336,125798.45,107518.375,136569.19
35,42,204320.06,206833.88,182346.38,223779.94
36,43,63672.438,65452.637,55779.246,69785.42
37,44,211721.83,211548.94,181508.77,242107.81
38,45,106211.96,103223.57,92248.77,123163.53
39,46,177998.25,181068.67,155736.28,197189.78
40,47,98733.65,100237.336,86287.19,109676.4
41,48,163577.86,163617.73,140512.48,186603.33
42,49,68802.77,69553.53,58878.465,77976.32
43,50,73126.6,72052.266,63666.934,83660.59
44,51,116300.32,110075.44,105533.52,133292.0
45,52,116482.84,114442.55,100658.055,134347.94
46,53,113915.914,110988.67,101477.89,129281.2
47,54,120757.195,120575.01,105850.836,135845.75
48,56,120253.52,117402.56,106208.62,137149.38
49,57,128449.06,132203.75,111640.71,141502.72
50,58,134108.56,136304.64,116680.336,149340.73
51,59,124145.73,121852.12,106632.625,143952.42
52,60,168922.17,161042.75,147219.23,198504.53
53,61,63105.2,61007.445,56988.504,71319.64
54,62,140237.52,142403.56,123068.125,155240.89
55,63,82450.38,78418.18,72562.41,96370.57
56,65,109586.47,106797.914,96707.97,125253.52
57,66,218823.45,232631.69,191834.58,232004.11
58,67,324595.84,333433.75,290626.8,349726.94
59,68,123873.16,128048.5,105987.65,137583.31
60,69,59801.543,58680.42,51857.484,68866.73
61,70,41502.375,41601.133,34624.082,48281.91
62,71,72125.57,68041.42,61342.57,86992.72
63,72,345308.16,379288.38,305317.22,351318.84
64,74,85394.37,96051.28,77142.266,82989.54
65,76,231872.55,236333.77,202726.34,256557.47
66,77,100437.52,102569.41,85460.65,113282.51
67,78,118786.43,120238.664,103126.984,132993.62
68,79,145052.69,147969.53,128353.23,158835.3
69,80,152820.38,156931.75,134917.84,166611.55
70,81,109554.52,107039.98,94500.69,127122.914
71,83,78998.64,81393.53,69197.555,86404.83
72,85,135429.42,134956.05,119101.3,152230.92
73,86,164638.44,170099.61,145731.45,178084.27
74,88,144687.92,148804.64,129588.46,155670.66
75,89,100988.945,102361.445,88675.07,111930.33
76,90,78117.97,78637.766,67634.71,88081.43
77,91,82528.72,80880.516,73649.19,93056.45
78,92,72160.43,76871.23,61673.86,77936.2
79,93,131173.2,135412.45,112420.92,145686.22
80,94,161589.72,166270.1,144442.78,174056.28
81,95,92583.02,94425.39,81379.49,101944.17
82,96,94247.97,94869.6,83448.74,104425.555
83,97,121782.98,124312.11,104296.28,136740.56
84,98,95490.84,94623.59,84348.9,107500.04
85,100,30900.873,31730.703,26912.201,34059.71
86,101,87772.35,87231.71,76022.81,100062.52
87,102,94691.96,95011.09,83601.38,105463.414
88,104,65163.906,63640.125,57608.09,74243.49
89,105,109738.4,107894.17,94505.21,126815.81
90,107,48239.043,49238.945,39464.887,56013.3
91,108,60759.95,63264.14,51650.246,67365.46
92,109,61318.344,63534.06,49630.277,70790.69
93,110,112750.25,111479.38,98945.56,127825.8
94,111,104760.81,103188.34,93862.83,117231.26
95,112,84556.63,88239.51,68519.164,96911.234
96,113,239138.67,226758.7,218680.2,271977.12
97,114,111500.12,105433.3,90032.555,139034.5
98,115,64637.297,64590.97,55362.1,73958.82
99,116,186466.56,200598.88,159101.67,199699.14
100,118,136622.86,140584.06,119010.39,150274.1
101,120,128616.27,126137.06,115756.27,143955.48
102,121,111713.836,115800.12,96931.5,122409.87
103,122,55670.047,52974.62,48630.86,65404.66
104,123,142473.45,145117.31,123436.82,158866.25
105,124,93827.12,91823.88,81830.86,107826.6
106,125,134963.78,137115.42,119992.83,147783.1
107,126,301532.4,306298.78,264893.06,333405.38
108,128,193804.94,201385.05,167516.34,212513.42
109,130,145403.42,147591.05,127499.54,161119.67
110,131,104439.305,104216.84,90524.71,118576.35
111,133,72196.57,70113.86,62375.348,84100.516
112,134,108331.46,105275.67,94446.375,125272.31
113,135,35442.47,35346.09,31825.389,39155.926
114,136,199186.52,215977.72,170517.02,211064.81
115,137,43517.72,48224.598,38143.992,44184.562
116,138,267958.5,280846.8,239163.86,283864.8
117,139,109042.586,107910.96,95088.21,124128.57
118,140,174984.73,177068.45,153350.19,194535.56
119,141,63657.01,65611.164,54615.89,70743.97
120,142,59140.938,61145.957,52320.73,63956.117
121,143,352011.88,376948.1,309179.4,369908.1
122,144,173878.27,178059.22,157021.44,186554.16
123,145,135933.08,138814.86,116698.68,152285.7
124,146,87083.53,88871.266,76206.8,96172.52
125,147,202997.67,213314.12,176879.52,218799.34
126,148,291476.38,319818.34,250396.36,304214.47
127,149,52072.48,51402.957,45315.234,59499.246
128,150,117027.18,114912.875,101103.15,135065.5
129,151,115002.27,111209.72,98123.23,135673.86
130,152,146090.62,147316.27,127791.62,163163.98
131,153,148929.36,155061.78,130482.08,161244.19
132,154,96597.71,96274.26,84586.35,108932.516
133,155,214786.62,219498.8,190174.34,234686.72
134,156,71769.79,70466.36,61652.23,83190.77
135,157,26336.828,28035.771,21782.523,29192.186
136,158,55601.793,53441.62,49157.07,64206.688
137,159,59947.973,66899.41,49883.184,63061.324
138,160,185750.45,204451.44,160570.02,192229.9
139,161,27321.76,29766.742,22092.521,30106.018
140,162,126328.97,130078.3,107764.97,141143.64
141,163,118255.1,114035.336,102092.48,138637.5
142,164,213762.38,212511.69,184745.92,244029.48
143,165,141077.58,142664.08,122377.54,158191.11
144,166,60013.574,60269.883,54819.668,64951.168
145,167,27776.057,28481.678,23934.834,30911.656
146,168,149972.19,148712.88,132869.06,168334.62
147,169,342278.28,372145.62,297312.94,357376.34
148,170,64842.953,66765.95,56779.21,70983.695
149,171,128527.19,130628.37,111868.234,143084.98
150,172,98917.13,100818.43,82470.695,113462.28
151,173,123770.25,120859.6,108047.734,142403.39
152,174,74713.86,70657.58,64888.434,88595.56
153,175,220474.67,222198.78,197324.38,241900.81
154,176,198298.8,206943.14,168372.94,219580.33
155,177,289072.03,293897.16,257189.3,316129.7
156,179,194954.92,200243.08,166743.67,217877.97
157,180,109579.48,107409.11,98527.57,122801.734
158,181,93220.875,93094.234,82208.945,104359.43
159,182,207936.86,236475.42,180389.06,206946.05
160,183,60007.438,61515.637,52722.85,65783.82
161,184,141693.7,146989.52,122120.02,155971.6
162,185,186136.62,184092.84,161193.1,213123.95
163,186,54886.266,55343.7,47822.883,61492.223
164,187,225065.19,219575.66,196403.64,259216.23
165,188,95446.44,97030.164,82300.13,107009.02
166,189,86549.51,85580.805,75423.46,98644.266
167,190,86955.88,87432.52,76480.51,96954.62
168,191,127554.19,125463.65,110815.78,146383.14
169,192,120220.35,117869.805,104688.49,138102.77
170,193,103905.16,103393.64,92004.805,116317.04
171,194,244049.8,240206.23,217734.16,274209.03
172,195,123754.98,120110.484,107505.45,143648.98
173,196,57447.0,55880.01,50212.35,66248.65
174,197,265576.38,281578.88,231912.06,283238.16
175,198,58125.035,55223.24,54503.11,64648.77
176,199,37744.89,35650.26,34459.035,43125.37
177,204,284844.53,294488.66,259475.1,300569.84
178,205,140233.31,142031.84,121813.8,156854.3
179,207,164367.25,167878.67,145633.47,179589.64
180,208,195214.77,207375.7,167386.8,210881.8
181,209,106086.19,102919.9,95643.84,119694.8
182,210,39745.605,41680.2,33187.99,44368.625
183,211,113012.19,111326.734,97983.97,129725.875
184,212,69059.055,66212.65,60721.26,80243.24
185,214,37823.996,38179.508,32933.098,42359.383
186,216,218664.52,225904.17,191209.84,238879.55
187,217,123560.25,125060.22,106259.02,139361.52
188,218,130543.44,134816.56,114512.875,142300.86
189,219,56679.7,61419.74,46928.56,61690.805
190,221,103269.07,103085.18,88923.9,117798.15
191,222,146406.12,149081.48,129520.695,160616.2
192,223,137137.6,137781.83,118601.96,155029.0
193,224,34157.246,34397.37,30559.438,37514.934
194,225,40790.37,42208.508,33316.48,46846.13
195,226,72706.13,73344.4,61314.73,83459.29
