cod_loja;faturamento
10;153912.39
13;104506.99
16;76308.09
21;86783.484
28;138840.8
41;170634.8
55;74988.37
64;155999.19
73;194458.56
75;150627.86
82;119016.81
84;140940.86
87;99539.9
99;77497.336
103;134279.33
106;87383.47
117;82060.71
119;85806.73
127;74938.42
129;128418.53
132;161642.3
178;255513.86
200;91082.195
201;81513.57
202;90586.23
203;100901.27
206;78585.91
213;167599.06
215;181110.95
220;102461.805
232;65888.9
234;175460.36
235;71446.6
240;58025.62
241;102671.93
242;60530.777
254;87118.47
255;388107.9
261;53692.39
262;159139.88
272;62896.363
278;95546.125
285;156893.8
300;93342.086
302;97429.21
303;66581.74
308;136415.17
315;99929.836
323;98930.43
327;87448.19
333;64431.625
334;139177.33
339;52834.36
344;98270.664
353;256135.92
355;68800.4
375;72612.09
381;247908.86
384;133859.67
394;115591.81
420;114060.21
427;56471.855
448;99259.555
450;188247.38
452;121196.77
461;48976.26
476;120284.09
480;263495.53
486;58852.27
501;130742.94
514;104708.65
520;85126.73
522;44660.11
526;75511.45
540;81762.23
543;69583.73
545;139587.2
556;80048.31
560;156506.75
561;69017.125
566;52743.8
572;67833.18
575;61551.332
588;57626.75
592;49200.965
596;105025.78
601;54568.01
603;116812.6
610;80206.82
618;36541.707
620;47436.605
636;144295.39
637;43453.754
641;163760.56
645;247437.17
646;105293.27
652;203842.69
653;59758.918
678;35562.816
680;113325.19
683;63948.113
685;111632.59
715;40482.492
730;56480.77
733;167672.2
750;73131.07
756;97376.9
758;60710.02
771;131350.31
777;32321.072
791;44324.234
812;42888.086
813;56102.363
820;41737.574
841;42217.035
857;57086.293
861;110732.13
866;209231.94
867;109461.586
868;70489.09
875;94571.695
876;42885.875
885;94826.34
903;179476.3
907;157443.19
914;49456.855
929;115812.414
936;150912.61
938;84010.71
944;63772.074
950;79320.18
952;52618.547
953;83183.51
967;63683.66
974;196344.81
975;102564.21
1007;94441.41
1008;55970.676
1013;52449.8
1025;157970.7
1027;285514.2
1034;86444.68
1036;71710.88
1039;36580.754
1059;98931.72
1065;143883.27
1069;36425.605
1073;74587.75
1082;51972.87
1089;48627.082
1093;84163.95
1094;149876.48
1099;37021.145
1106;69286.0
1109;116862.97
1114;157251.48
1124;61165.043
1126;72302.13
1145;82793.43
1148;35981.137
1151;46871.895
1153;75674.125
1156;113724.31
1164;73584.84
1173;40611.902
1175;46791.887
1180;66197.305
1186;98827.04
1196;93219.25
1199;73399.76
1208;165000.45
1213;103776.9
1226;43204.465
1234;164277.14
1246;111909.03
1247;134329.36
1254;57730.14
1267;110720.62
1274;50320.348
1279;39855.67
1283;44004.812
1287;34958.08
1292;59498.51
1298;270219.6
1308;81574.53
1314;106190.94
1317;246699.52
1321;50318.344
1322;180953.33
1334;99403.18
1335;59923.99
1359;109942.945
1360;69519.69
1361;67729.37
1374;101745.46
1382;31789.375
1384;37876.15
1385;30957.846
1390;137534.23
1396;239275.3
1398;34934.816
1403;57127.24
1415;35814.473
1418;183686.5
1419;74536.23
1421;159313.08
1422;107940.695
1447;48476.69
1448;82739.54
1452;72253.375
1460;49335.97
1461;112169.31
1462;121234.27
1485;70209.18
1499;94484.96
1500;71522.43
1502;79280.445
1503;59266.887
1507;98233.07
1510;58240.363
1518;239248.02
1523;65509.895
1524;64509.344
1527;77875.56
1531;91351.23
1551;154958.3
1563;51274.598
1568;49575.89
1569;97978.586
1570;103528.46
1574;115598.29
1580;78195.97
1595;51775.83
1598;35950.855
1602;30031.838
1605;162227.23
1613;29931.1
1623;56787.168
1624;55668.098
1626;107544.836
1632;48511.637
1667;53301.316
1669;44874.938
1674;71577.15
1685;41197.137
1686;255411.17
1696;281899.9
1708;25765.094
1724;68430.47
1732;75214.84
1734;194383.56
1743;69569.95
1752;81944.12
1754;98897.19
1757;134979.75
1760;102323.9
1768;128270.414
1774;49877.406
1787;108115.97
1788;56966.355
1789;69597.664
1794;18018.768
1795;41155.383
1799;108690.84
1808;56694.61
1809;94147.93
1811;102697.4
1819;181217.73
1824;33739.996
1835;68929.195
1842;269274.75
1843;31694.611
1851;49226.24
1853;86051.445
1858;56809.55
1861;62803.785
1862;66720.32
1863;175509.12
1869;34842.395
1872;75288.305
1874;74223.37
1882;32985.625
1885;101420.79
1890;76101.83
1896;70288.695
1899;27711.19
1901;60791.625
1918;173658.73
1919;91452.086
1927;158976.23
1930;63845.777
1933;67244.06
1944;73763.94
1949;98528.78
1982;126959.21
1984;131343.81
1986;84335.34
1990;48034.83
1992;76405.195
2009;146382.98
2015;77198.47
2018;51732.105
2020;96374.49
2028;177756.39
2040;71000.28
2046;149056.11
2050;95593.96
2066;54192.37
2068;30649.709
2070;272120.03
2072;97018.85
2074;39753.41
2091;31408.07
2096;72080.31
2111;192194.61
2116;126119.27
2120;72589.29
2121;127013.78
2128;50723.875
2132;338358.34
2136;307613.84
2139;90654.914
2152;183860.39
2153;70536.5
2163;227800.23
2165;132728.3
2166;271212.62
2171;259561.2
2173;117875.31
2177;229113.06
2181;99288.875
2193;106966.25
2195;120642.805
2201;148538.28
2207;104388.35
2223;64521.95
2236;184180.7
2240;36641.473
2241;80371.71
2250;108713.6
2262;60403.906
2277;87346.26
2283;33205.723
2284;150714.81
2294;69667.02
2296;85843.664
2306;53700.812
2321;253101.88
2334;67750.06
2337;41973.684
2341;72584.97
2347;102514.22
2367;35888.39
2368;153994.64
2376;188388.55
2379;41789.91
2380;69907.71
2382;100664.414
2386;75379.48
2388;74380.51
2390;79594.72
2403;153462.98
2410;61192.395
2416;44604.47
2420;81634.94
2423;73533.586
2426;257600.62
2436;44351.55
2451;67929.48
2452;70022.445
2454;48102.895
2461;122916.945
2463;200962.5
2464;66932.55
2469;51867.574
3390;95747.195
2481;84893.05
2487;74335.29
2488;110096.71
2494;94978.69
2504;102076.59
2513;66684.29
2527;31189.674
2535;85356.305
2537;188921.42
2543;19090.783
2550;79075.34
2562;73903.23
2564;39000.496
2579;71634.14
2580;59271.3
2585;58517.035
2594;104293.22
2596;141987.83
2604;55930.652
2613;35870.49
2637;87927.24
2646;55295.22
2649;57078.2
2650;43962.37
2651;54020.51
2652;101610.46
2655;52290.855
2665;27842.086
2667;77376.46
2673;183584.08
2688;246044.73
2689;139301.17
2700;83023.87
2702;53504.5
2704;61006.832
2705;28644.37
2708;113303.18
2724;80935.01
2730;33563.113
2733;145292.45
2741;48525.25
2745;43508.67
2746;36807.42
2748;31213.564
2752;27692.307
2755;95236.02
2757;71212.91
2761;104817.63
2763;64121.176
2774;49648.953
2779;182703.83
2792;80497.65
2801;307572.16
2815;69488.72
2822;134963.64
2828;62733.285
2840;157799.62
2847;35098.582
2855;74989.7
2860;86494.63
2867;104500.56
2877;85544.28
2889;55193.746
2894;56866.926
2910;150226.27
2929;44847.223
2932;75760.055
2934;77814.29
2945;76591.53
2950;82513.516
2954;45491.26
2958;27122.594
2966;161356.8
2976;103297.27
2984;216656.25
2992;43104.254
3004;299821.0
3008;185234.19
3033;205353.12
3054;47774.785
3057;63282.074
3069;94183.055
3082;213172.62
3086;42496.195
3096;128164.164
3098;72574.35
3103;56261.203
3109;32913.066
3114;77877.85
3115;79807.86
3121;97948.81
3138;40034.152
3156;107814.19
3164;110247.01
3168;41421.824
3169;94384.445
3182;48720.703
