,cod_loja,faturamento,jan,fev,mar
0,10,152672.05,151208.4,134070.03,172737.7
1,13,103534.98,107569.6,92309.6,110725.734
2,16,76026.25,87188.875,60407.55,80482.33
3,21,89888.48,98173.945,71993.71,99497.78
4,28,138703.28,138777.88,127400.16,149931.81
5,41,167538.56,173256.73,146704.38,182654.55
6,55,76171.78,72213.984,68777.11,87524.26
7,64,148507.45,156988.38,134057.84,154476.17
8,73,189143.61,195598.83,163016.81,208815.19
9,75,149432.61,152011.47,144439.66,151846.7
10,82,116710.63,104412.02,109537.41,136182.47
11,84,140286.02,149990.78,117422.164,153445.11
12,87,98823.62,99090.95,83116.3,114263.586
13,99,79588.69,88333.04,64352.594,86080.43
14,103,136296.39,141829.38,123684.695,143375.12
15,106,93114.164,91754.81,75018.914,112568.8
16,117,82415.24,90077.5,76296.28,80871.94
17,119,85304.93,90501.95,78916.76,86496.055
18,127,75508.99,78772.93,62756.055,84998.0
19,129,129344.23,124683.61,114706.96,148642.12
20,132,166725.73,160154.3,147948.0,192074.89
21,178,267219.6,266603.03,251477.48,283578.3
22,200,94392.25,92000.58,95692.805,95483.375
23,201,83644.125,86620.66,72961.34,91350.38
24,202,95133.19,109298.95,81965.625,94134.984
25,203,98019.18,96370.41,88941.75,108745.375
26,206,78985.02,76039.36,75285.62,85630.086
27,213,165135.5,159601.66,151309.8,184495.06
28,215,176342.62,173453.97,175947.69,179626.2
29,220,106546.94,109635.89,94806.55,115198.38
30,232,69702.04,68890.42,62922.36,77293.336
31,234,182434.5,183328.86,160881.67,203092.97
32,235,70638.04,71844.09,61230.066,78839.97
33,240,67413.49,77642.375,48762.195,75835.914
34,241,101222.79,108734.27,89311.945,105622.16
35,242,60353.99,59869.047,58562.89,62630.03
36,254,79266.46,64081.918,68862.41,104855.06
37,255,363974.0,362057.16,357350.3,372514.44
38,261,55674.86,63945.41,45550.664,57528.496
39,262,157992.84,169037.89,141938.66,163001.97
40,272,66156.77,86429.15,53807.24,58233.926
41,278,96642.73,93382.35,88243.8,108302.04
42,285,154092.58,157162.08,138231.55,166884.12
43,300,90802.97,92029.67,82372.06,98007.164
44,302,99306.164,110673.37,86355.46,100889.68
45,303,67419.22,67506.11,50930.38,83821.164
46,308,134245.61,141262.83,120196.69,141277.33
47,315,96163.85,96784.18,88972.61,102734.79
48,323,101310.75,96586.61,102249.32,105096.33
49,327,85797.46,85010.64,79195.28,93186.47
50,333,60012.3,68263.7,54719.89,57053.305
51,334,140780.61,138478.11,125521.93,158341.8
52,339,56871.25,65837.734,49568.645,55207.383
